# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,YBXUZANQVN,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,31,17
# x,y,z,u,w
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
0.000000000000000000e+00, -1.850371707708594131e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.500000000000000000e-01
0.000000000000000000e+00, -3.700743415417188263e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.000000000000000000e-01
0.000000000000000000e+00, -1.156482317317871294e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.500000000000000000e-01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.250000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.500000000000000000e+00
0.000000000000000000e+00, 1.387778780781445676e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
0.000000000000000000e+00, 1.387778780781445676e-17, -4.625929269271485328e-18, 0.000000000000000000e+00, 2.250000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -3.700743415417188263e-17, 0.000000000000000000e+00, 2.500000000000000000e+00
0.000000000000000000e+00, 6.938893903907228378e-18, -1.850371707708594131e-17, 0.000000000000000000e+00, 2.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -1.850371707708594131e-17, 0.000000000000000000e+00, 3.250000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -3.700743415417188263e-17, 0.000000000000000000e+00, 3.500000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -4.625929269271485328e-18, 0.000000000000000000e+00, 3.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.000000000000000000e+00
1.037163163360860924e-01, 2.037899008962809067e-01, -5.200000000000001496e-03, 2.000000000000000111e-01, 0.000000000000000000e+00
9.962006722197327968e-02, 1.876995096666573826e-01, -8.708783619066151616e-02, 2.000000000000000111e-01, 2.500000000000000000e-01
9.084803488040676944e-02, 1.432924823306591655e-01, -1.574326748836753775e-01, 2.000000000000000111e-01, 5.000000000000000000e-01
8.217903673001761278e-02, 7.782959894599761341e-02, -2.075445760356890434e-01, 2.000000000000000111e-01, 7.500000000000000000e-01
7.826316754394097019e-02, -1.776356839400250502e-17, -2.267348492932454995e-01, 2.000000000000000111e-01, 1.000000000000000000e+00
8.217903673001764053e-02, -7.782959894599766892e-02, -2.075445760356890434e-01, 2.000000000000000111e-01, 1.250000000000000000e+00
9.084803488040676944e-02, -1.432924823306591933e-01, -1.574326748836753775e-01, 2.000000000000000111e-01, 1.500000000000000000e+00
9.962006722197329356e-02, -1.876995096666573826e-01, -8.708783619066151616e-02, 2.000000000000000111e-01, 1.750000000000000000e+00
1.037163163360860785e-01, -2.037899008962808511e-01, -5.199999999999992822e-03, 2.000000000000000111e-01, 2.000000000000000000e+00
9.991841787517231899e-02, -1.870227221871580969e-01, 7.638856878852140486e-02, 2.000000000000000111e-01, 2.250000000000000000e+00
9.137854242138747363e-02, -1.423080641786602374e-01, 1.460482567316764291e-01, 2.000000000000000111e-01, 2.500000000000000000e+00
8.282766089260383546e-02, -7.715281146649838329e-02, 1.954304030252471125e-01, 2.000000000000000111e-01, 2.750000000000000000e+00
7.894141061983248053e-02, -2.841745977289348069e-17, 2.142768047720791658e-01, 2.000000000000000111e-01, 3.000000000000000000e+00
8.282766089260386322e-02, 7.715281146649834165e-02, 1.954304030252471125e-01, 2.000000000000000111e-01, 3.250000000000000000e+00
9.137854242138748750e-02, 1.423080641786602096e-01, 1.460482567316764291e-01, 2.000000000000000111e-01, 3.500000000000000000e+00
9.991841787517236062e-02, 1.870227221871580969e-01, 7.638856878852140486e-02, 2.000000000000000111e-01, 3.750000000000000000e+00
1.037163163360861201e-01, 2.037899008962809067e-01, -5.200000000000001496e-03, 2.000000000000000111e-01, 4.000000000000000000e+00
3.031222591980798908e-01, 3.870917171908569987e-01, -1.760000000000000453e-02, 4.000000000000000222e-01, 0.000000000000000000e+00
2.977494344274401183e-01, 3.583338909311958864e-01, -1.811502238276611332e-01, 4.000000000000000222e-01, 2.500000000000000000e-01
2.866483670604778600e-01, 2.763248867633824046e-01, -3.197656669812073971e-01, 4.000000000000000222e-01, 5.000000000000000000e-01
